millis,abs_rotations,roll
124793,1132,44.65
124893,1133,44.65
124993,1134,44.64
125093,1136,44.68
125193,1137,44.72
125293,1138,44.68
125393,1139,44.68
125493,1140,44.69
125593,1140,44.73
125693,1141,44.76
125793,1142,44.82
125893,1143,44.85
125993,1144,44.84
126093,1145,44.85
126193,1146,44.85
126293,1147,44.84
126393,1148,44.86
126493,1149,44.91
126593,1150,44.95
126693,1151,44.95
126793,1152,44.99
126893,1153,44.97
126993,1154,44.99
127093,1155,45.04
127193,1156,45.07
127293,1157,45.10
127393,1158,45.15
127493,1159,45.18
127593,1160,45.21
127693,1161,45.26
127793,1162,45.23
127893,1163,45.23
127993,1164,45.26
128093,1165,45.29
128193,1166,45.28
128293,1168,45.28
128393,1169,45.32
128493,1170,45.29
128593,1171,45.31
128693,1172,45.29
128793,1173,45.29
128893,1174,45.26
128993,1175,45.36
129093,1175,45.40
129193,1176,45.40
129293,1177,45.42
129393,1178,45.46
129493,1179,45.48
129593,1180,45.50
129693,1181,45.52
129793,1182,45.56
129893,1184,45.57
129993,1185,45.63
130093,1186,45.65
130193,1187,45.63
130293,1188,45.64
130393,1189,45.69
130493,1190,45.67
130593,1191,45.67
130693,1192,45.67
130793,1193,45.70
130893,1194,45.74
130993,1195,45.77
131093,1196,45.86
131193,1197,45.90
131293,1198,45.92
131393,1199,45.94
131493,1201,45.95
131593,1202,45.96
131693,1203,45.98
131793,1204,45.97
131893,1205,46.03
131993,1206,46.03
132093,1207,46.02
132193,1208,46.05
132293,1209,46.06
132393,1209,46.09
132493,1210,46.10
132593,1211,46.12
132693,1212,46.12
132793,1213,46.12
132893,1214,46.14
132993,1216,46.11
133093,1217,46.20
133193,1218,46.19
133293,1219,46.21
133393,1220,46.27
133493,1221,46.31
133593,1222,46.33
133693,1223,46.37
133793,1224,46.38
133893,1225,46.40
133993,1226,46.38
134093,1227,46.39
134193,1228,46.42
134293,1228,46.48
134393,1229,46.49
134493,1230,46.51
134593,1232,46.57
134693,1233,46.61
134793,1234,46.62
134893,1235,46.62
134993,1236,46.65
135093,1237,46.69
135193,1238,46.68
135293,1239,46.68
135393,1240,46.68
135493,1241,46.67
135593,1242,46.67
135693,1243,46.69
135793,1244,46.72
135893,1245,46.73
135993,1245,46.73
136093,1246,46.80
136193,1248,46.81
136293,1249,46.82
136393,1250,46.86
136493,1251,46.88
136593,1252,46.88
136693,1253,46.95
136793,1254,46.95
136893,1255,46.93
136993,1256,46.97
137093,1257,46.98
137193,1258,47.02
137293,1259,47.05
137393,1260,47.08
137493,1261,47.07
137593,1262,47.09
137693,1263,47.13
137793,1265,47.13
137893,1266,47.12
137993,1267,47.14
138093,1268,47.15
138193,1269,47.20
138293,1269,47.21
138393,1270,47.26
138493,1271,47.29
138593,1272,47.31
138693,1273,47.30
138793,1274,47.34
138893,1275,47.38
138993,1276,47.32
139093,1277,47.32
139193,1278,47.31
139293,1280,47.32
139393,1281,47.31
139493,1282,47.33
139593,1283,47.38
139693,1284,47.41
139793,1285,47.44
139893,1286,47.43
139993,1287,47.45
140093,1288,47.52
140193,1289,47.59
140293,1290,47.58
140393,1291,47.54
140493,1292,47.57
140593,1293,47.54
140693,1294,47.56
140793,1295,47.61
140893,1296,47.64
140993,1298,47.67
141093,1299,47.74
141193,1300,47.74
141293,1301,47.79
141393,1302,47.81
141493,1303,47.83
141593,1304,47.82
141693,1305,47.79
141793,1306,47.84
141893,1307,47.81
141993,1308,47.79
142093,1309,47.82
142193,1310,47.79
142293,1311,47.84
142393,1312,47.94
142493,1313,48.01
142593,1314,48.01
142693,1316,47.95
142793,1317,47.97
142893,1318,47.97
142993,1318,48.02
143093,1319,48.05
143193,1320,48.10
143293,1321,48.11
143393,1322,48.14
143493,1323,48.17
143593,1324,48.21
143693,1325,48.20
143793,1326,48.28
143893,1326,48.28
143993,1327,48.28
144093,1328,48.31
144193,1329,48.32
144293,1331,48.38
144393,1332,48.35
144493,1333,48.43
144593,1334,48.38
144693,1335,48.37
144793,1336,48.38
144893,1337,48.35
144993,1338,48.32
145093,1339,48.35
145193,1340,48.43
145293,1341,48.48
145393,1342,48.53
145493,1343,48.52
145593,1344,48.51
145693,1345,48.57
145793,1346,48.61
145893,1347,48.62
145993,1348,48.57
146093,1350,48.59
146193,1351,48.61
146293,1352,48.59
146393,1353,48.62
146493,1354,48.67
146593,1355,48.67
146693,1356,48.70
146793,1357,48.70
146893,1358,48.73
146993,1359,48.74
147093,1360,48.77
147193,1361,48.73
147293,1362,48.73
147393,1363,48.72
147493,1364,48.77
147593,1365,48.85
147693,1366,48.90
147793,1367,48.88
147893,1368,48.86
147993,1369,48.87
148093,1370,48.92
148193,1371,48.97
148293,1372,48.97
148393,1373,48.96
148493,1374,48.93
148593,1375,48.98
148693,1376,49.02
148793,1377,49.07
148893,1378,49.09
148993,1379,49.15
149093,1380,49.17
149193,1381,49.14
149293,1382,49.16
149393,1383,49.17
149493,1384,49.17
149593,1386,49.14
149693,1387,49.19
149793,1388,49.16
